filepath,cluster,weak_label,distance
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\00366e8d-5520-4d3c-a70b-91a7eec1f521.jpg,0,1,21.356153
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\00455a62-f79f-4072-9a23-4951e759acdc.jpg,1,0,14.821634
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\004ce5f5-ca6b-490f-9b2f-c322c152e2ee.jpg,0,1,15.216763
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\009eac4a-c951-4da9-852a-b32e9ce20c6e.jpg,0,1,18.38933
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\0208c07c-bc4b-4741-ad0f-d5beeb18cc52.jpg,0,1,17.828232
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\030d0b45-ee70-41f9-9e56-2581052b2c18.jpg,0,1,18.576025
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\03bd85ef-651a-4f93-8569-786dbfd37965.jpg,1,0,21.39238
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\03c5ec29-9720-4c07-a8e1-4a8a70852f40.jpg,1,0,22.352167
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\04b806ad-e6ed-47bc-a2e8-ce0d2d790de4.jpg,1,0,20.104801
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\04d0fcb7-0b6c-4c7b-8dd2-aa70037a0b29.jpg,1,0,18.157454
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\04dd2b78-0aa3-4364-b762-21a6e71d3658.jpg,1,0,28.673527
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\0598d2d0-ffa7-4d6a-9a58-0fb41dc6536e.jpg,0,1,16.188854
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\05e808fc-a00c-4f1e-9682-1f73915f6902.jpg,0,1,31.390057
\Users\emman\Formation\P7 SSL\mri_dataset_brain_cancer_oc\sans_label\Unsorted\063a6210-0d77-4f8d-96ea-6a4814c37995.jpg,1,0,22.245003
